    R         lat       lng         Erro(cm)      U_erro(cm/s)      nst
      0.0000    -33.9285     17.8161      2.3327      1.2794    2196
     25.0273    -33.9486     17.5458      2.0674      1.0469    2197
     48.0317    -33.9568     17.2966      1.9084     -0.5862    2198
     78.8755    -33.9551     16.9621      2.5451     -0.6798    2199
    113.2101    -33.9954     16.5929      2.1650      0.7970    2200
    149.0784    -34.0184     16.2047      2.0948     -0.8373    2201
    187.1638    -34.0414     15.7923      2.7200     -0.9019    2202
    222.7214    -34.0719     15.4080      2.6902     -0.0918    2203
    262.6997    -34.1158     14.9770      2.7926     -0.2451    2204
    303.2578    -34.1078     14.5365      2.8539     -0.4214    2205
    341.3581    -34.4331     14.4061      3.0590     -0.5775    2206
    377.1900    -34.7201     14.2280      3.2146     -0.7665    2207
    414.0588    -35.0203     14.0563      3.5345     -1.5184    2208
    451.7996    -35.3165     13.8534      4.1869     -1.6196    2209
    489.4539    -35.6250     13.6818      4.5827      0.0993    2210
    527.3781    -35.9314     13.4970      4.1159      0.4028    2211
    565.4303    -36.2368     13.3058      4.3184     -1.0039    2212
    603.4175    -36.5447     13.1217      4.7850     -0.5176    2213
    639.2974    -36.8313     12.9367      4.6879      0.8963    2214
    675.6062    -37.1214     12.7489      4.2049      0.9435    2215
    713.2180    -37.4232     12.5569      4.0762     -0.1735    2216
    749.8074    -37.7121     12.3580      4.3110      0.7391    2217
    786.0332    -38.0019     12.1692      3.5972      1.6103    2218
    822.3056    -38.2883     11.9706      3.2450      0.5512    2219
    860.5458    -38.5867     11.7522      3.2384      0.5357    2220
    897.6193    -38.8797     11.5481      2.8826      1.2382    2221
    936.3627    -39.1845     11.3306      2.3576     -0.0930    2222
    973.8229    -39.4836     11.1300      2.9126     -1.8167    2223
   1011.5050    -39.7854     10.9298      3.6464     -0.6791    2224
   1048.1890    -40.0811     10.7388      3.4177      0.7206    2225
   1085.6930    -40.3797     10.5333      3.1347     -0.1587    2226
   1123.0170    -40.6663     10.3032      3.5286      0.0394    2227
   1161.7550    -40.9646     10.0653      3.0742      1.4443    2228
   1197.1591    -41.2373      9.8471      2.5020      0.9415    2229
   1234.2740    -41.5324      9.6390      2.4310      0.7431    2230
   1271.3860    -41.8184      9.4086      1.9596      0.8500    2231
   1308.5410    -42.1109      9.1913      1.8071     -0.1222    2232
   1346.3719    -42.4065      8.9635      2.0580     -0.1708    2233
   1382.9010    -42.6915      8.7416      1.9467      0.5623    2234
   1420.1810    -42.9745      8.4962      1.6368      0.0259    2235
   1457.9240    -43.2687      8.2642      1.9346     -0.3002    2236
   1493.6100    -43.5443      8.0378      1.8802      0.3869    2237
   1532.1360    -43.8446      7.7985      1.6269     -0.0845    2238
   1570.1680    -44.1377      7.5534      1.9394     -0.2863    2239
   1606.9730    -44.4237      7.3204      1.8608      0.5520    2240
   1643.9351    -44.6999      7.0608      1.5157      0.0521    2241
   1680.8831    -44.9786      6.8054      1.8204     -0.0809    2242
   1716.8700    -45.2534      6.5630      1.5915      0.5002    2243
   1754.0530    -45.5416      6.3213      1.4377     -0.1396    2244
   1792.5370    -45.8286      6.0444      1.7182      0.0318    2245
   1829.5341    -46.0995      5.7663      1.4344      0.3356    2246
   1867.3300    -46.3853      5.5001      1.4566     -0.2167    2247
   1905.6940    -46.6753      5.2282      1.6135      0.1877    2248
   1941.4860    -46.9445      4.9703      1.3369      0.0742    2249
   1979.7841    -47.2321      4.6919      1.5899     -0.4232    2250
   2015.7150    -47.5007      4.4265      1.6879      0.1229    2251
   2052.6089    -47.7706      4.1400      1.4841      0.3330    2252
   2090.6411    -48.0592      3.8660      1.4184      0.4512    2253
   2127.5950    -48.3295      3.5757      1.1180      0.2335    2254
   2165.4800    -48.6166      3.2989      1.2354     -0.0727    2255
   2202.4780    -48.8772      2.9850      1.1826     -0.2147    2256
   2241.0500    -49.1723      2.7067      1.4289     -0.3500    2257
   2277.9490    -49.4291      2.3844      1.4868     -0.0218    2258
   2314.5420    -49.6966      2.0887      1.4477     -0.3076    2259
   2352.0510    -49.9610      1.7638      1.7529     -0.2081    2260
   2389.5020    -50.2357      1.4598      1.6254     -0.5829    2261
   2426.5510    -50.4995      1.1406      2.2395     -0.0289    2262
   2463.4409    -50.7674      0.8320      1.6550      0.9152    2263
   2500.1721    -51.0256      0.5052      1.4644      0.3869    2264
   2537.6150    -51.2885      0.1696      1.3255      0.2687    2265
   2575.7019    -51.6144      0.0000      1.2305     -0.3722    2266
   2612.0249    -51.9411     -0.0010      1.6236     -0.2858    2267
   2649.0181    -52.2738     -0.0034      1.4649      0.0490    2268
   2685.6670    -52.6034      0.0069      1.5788     -0.0637    2269
   2722.1150    -52.9312      0.0019      1.5207      0.4028    2270
   2759.2200    -53.2650      0.0012      1.2243      0.5018    2271
   2795.9861    -53.5957      0.0003      1.0791      0.0921    2272
   2831.9319    -53.9190      0.0022      1.1398     -0.0298    2273
   2868.8711    -54.2512     -0.0053      1.1025      0.0989    2274
   2905.7119    -54.5825      0.0054      1.0522     -0.0508    2275
   2941.8530    -54.9076      0.0035      1.1445     -0.0701    2276
   2978.8979    -55.2408      0.0037      1.1112     -0.2022    2277
   3014.3149    -55.5593      0.0133      1.3121     -0.3801    2278
   3051.3740    -55.8925      0.0306      1.4443      0.0409    2279
   3088.0901    -56.2224      0.0025      1.2779     -0.1625    2280
   3125.8970    -56.5624      0.0047      1.6078      0.0639    2281
   3162.7520    -56.8939      0.0012      1.2368      0.8113    2282
