      rrr   U_h       HHH      dU  
   12.5137  -32.549053   13.963553    0.023393
   36.5295  -55.260235   23.049829   -0.067264
   63.4536  -67.271729   36.678921   -0.079532
   96.0428  -77.871750   57.266903   -0.234751
  131.1442  -46.479385   76.688583    0.286040
  168.1211  -14.390450   85.309860    1.146015
  204.9426    1.607425   87.215981    0.288299
  242.7106   14.525914   84.538841    0.542284
  282.9788   43.756771   75.840141    0.707106
  322.3080  -41.437492   74.610268    0.115896
  359.2740   -4.878131   82.038612   -0.374775
  395.6244    0.604764   81.701569    1.080194
  432.9292   -8.263782   83.828812    2.177258
  470.6267   -5.238828   86.424469    1.490504
  508.4160  -11.826022   90.173714    1.567718
  546.4042    0.553506   93.215729    1.625920
  584.4239   21.841635   89.712036    1.147426
  621.3575   33.925289   80.181480    0.272517
  657.4518   35.001778   68.432030   -0.426468
  694.4121   30.233603   57.270748   -1.019235
  731.5127   24.998365   48.433777   -1.078798
  767.9203   29.427277   39.102413   -0.698811
  804.1694   22.077055   29.675919   -0.603871
  841.4257    4.661642   24.918625   -0.335655
  879.0826  -19.094322   27.514324    0.083406
  916.9910  -54.711693   40.362568    0.648671
  955.0928  -64.926682   63.386017    0.347951
  992.6639  -33.241096   82.445374   -0.347278
 1029.8469   11.734737   86.458954   -0.256638
 1066.9409   59.056976   73.106644   -0.380012
 1104.3550   67.543488   47.270782   -0.343748
 1142.3860   24.126400   29.235600   -0.741350
 1179.4570   -5.982526   27.202051   -0.995154
 1215.7166   -1.401604   29.649027   -0.420630
 1252.8300    9.132989   27.355549   -0.143382
 1289.9635    6.822755   24.172129   -0.168284
 1327.4564    8.613219   21.107542   -0.251102
 1364.6365    4.005571   18.526936   -0.141376
 1401.5410   -4.844167   18.426840    0.058908
 1439.0525   -7.549251   21.605408    0.060257
 1475.7670    0.811275   23.252750   -0.107904
 1512.8729   12.220439   20.486732   -0.262794
 1551.1520   15.951048   14.348572   -0.321706
 1588.5704   18.431379    7.804928   -0.227357
 1625.4541   20.176813    0.015929   -0.082391
 1662.4091   18.377356   -7.300457    0.070997
 1698.8766   16.772182  -14.340336   -0.049250
 1735.4614   11.679533  -19.730131    0.023285
 1773.2949    8.330110  -23.716208   -0.090995
 1811.0355   -0.392558  -25.593233   -0.150747
 1848.4320   -3.017093  -24.384243   -0.100055
 1886.5120   -6.915248  -22.627951    0.003757
 1923.5900   -5.519310  -19.442226    0.003574
 1960.6350    3.396130  -19.216209   -0.097018
 1997.7495    3.394966  -21.121622   -0.023169
 2034.1620    2.615478  -21.765350   -0.087071
 2071.6250   11.632137  -24.886753   -0.223662
 2109.1182   11.541337  -30.234476   -0.123752
 2146.5374    9.863667  -34.635109   -0.077037
 2183.9790    9.250139  -38.454559   -0.212217
 2221.7639   15.432743  -43.854755   -0.243842
 2259.4995    9.069021  -49.894421   -0.102436
 2296.2454   -1.485414  -50.931141    0.071019
 2333.2964   -0.298608  -50.422356    0.008055
 2370.7766   -1.852648  -49.308788   -0.150511
 2408.0266   16.083609  -50.997433   -0.383863
 2444.9961   33.779415  -63.033939   -0.375058
 2481.8064   29.862749  -78.103127   -0.154410
 2518.8936   14.315743  -87.804642   -0.052202
 2556.6584    5.432037  -91.325241   -0.042831
 2593.8633    4.554499  -93.329994   -0.092632
 2630.5215    4.698659  -95.183701   -0.137814
 2667.3425   10.018637  -98.115761   -0.119864
 2703.8909   11.282728 -103.452003   -0.091984
 2740.6675    3.349681 -106.800049   -0.061313
 2777.6030    1.276158 -107.370720   -0.089218
 2813.9590    2.451054 -108.279961   -0.071939
 2850.4016    1.052919 -109.183571   -0.060437
 2887.2915    0.724966 -109.376587   -0.040238
 2923.7825    2.483063 -110.174690   -0.034604
 2960.3755    1.899856 -111.081749   -0.012293
 2996.6064    5.630527 -112.349571    0.103985
 3032.8445   11.118337 -116.244904    0.157723
 3069.7319   15.397759 -122.476341    0.189709
 3106.9937    9.351135 -129.105515    0.153701
 3144.3245   -0.011031 -130.307953    0.094581
